iteration, optimization, LUT-6, Levels, best LUT-6 meets constraint, best LUT-6, best levels
1, strash, 842, 56
2, refactor, 842, 56, 758; 42; 7; 18, 758; 42; 7; 18, 813; 38; 2; 23
3, rewrite -z, 849, 57, 758; 42; 7; 18, 758; 42; 7; 18, 813; 38; 2; 23
4, resub -z, 849, 57, 758; 42; 7; 18, 758; 42; 7; 18, 813; 38; 2; 23
5, balance, 767, 43, 758; 42; 7; 18, 758; 42; 7; 18, 813; 38; 2; 23
6, rewrite -z, 783, 43, 758; 42; 7; 18, 758; 42; 7; 18, 813; 38; 2; 23
7, resub -z, 783, 43, 758; 42; 7; 18, 758; 42; 7; 18, 813; 38; 2; 23
8, refactor, 783, 43, 758; 42; 7; 18, 758; 42; 7; 18, 813; 38; 2; 23
9, rewrite, 783, 43, 758; 42; 7; 18, 758; 42; 7; 18, 813; 38; 2; 23
10, resub, 783, 43, 758; 42; 7; 18, 758; 42; 7; 18, 813; 38; 2; 23
11, refactor -z, 786, 42, 758; 42; 7; 18, 758; 42; 7; 18, 813; 38; 2; 23
12, rewrite, 786, 42, 758; 42; 7; 18, 758; 42; 7; 18, 813; 38; 2; 23
13, resub -z, 786, 42, 758; 42; 7; 18, 758; 42; 7; 18, 813; 38; 2; 23
14, refactor, 786, 42, 758; 42; 7; 18, 758; 42; 7; 18, 813; 38; 2; 23
15, rewrite, 786, 42, 758; 42; 7; 18, 758; 42; 7; 18, 813; 38; 2; 23
16, refactor, 786, 42, 758; 42; 7; 18, 758; 42; 7; 18, 813; 38; 2; 23
17, refactor, 786, 42, 758; 42; 7; 18, 758; 42; 7; 18, 813; 38; 2; 23
18, balance, 775, 41, 758; 42; 7; 18, 758; 42; 7; 18, 813; 38; 2; 23
19, rewrite, 775, 41, 758; 42; 7; 18, 758; 42; 7; 18, 813; 38; 2; 23
20, refactor, 775, 41, 758; 42; 7; 18, 758; 42; 7; 18, 813; 38; 2; 23
21, refactor, 775, 41, 758; 42; 7; 18, 758; 42; 7; 18, 813; 38; 2; 23
22, balance, 772, 41, 758; 42; 7; 18, 758; 42; 7; 18, 813; 38; 2; 23
23, balance, 773, 41, 758; 42; 7; 18, 758; 42; 7; 18, 813; 38; 2; 23
24, balance, 775, 41, 758; 42; 7; 18, 758; 42; 7; 18, 813; 38; 2; 23
25, resub, 775, 41, 758; 42; 7; 18, 758; 42; 7; 18, 813; 38; 2; 23
26, balance, 771, 41, 758; 42; 7; 18, 758; 42; 7; 18, 813; 38; 2; 23
27, refactor, 771, 41, 758; 42; 7; 18, 758; 42; 7; 18, 813; 38; 2; 23
28, balance, 773, 41, 758; 42; 7; 18, 758; 42; 7; 18, 813; 38; 2; 23
29, rewrite, 773, 41, 758; 42; 7; 18, 758; 42; 7; 18, 813; 38; 2; 23
30, rewrite -z, 754, 42, 754; 42; 8; 30, 754; 42; 8; 30, 813; 38; 2; 23
